"Navn";"Takst liten bil";"Takst stor bil";"Vegnummer";"Lat";"Long:";"Autopass";"Autopass-beskrivelse";"Kommunenr"
"E39 Randabergveien";"20.0";"50.0";"Ev39";"58.98348";"5.67202";"Ja";"AutoPASS + automatisk";"1103"
"LILAND";"14.0";"28.0";"Ev39";"59.49436";"5.43723";"Ja";"AutoPASS + automatisk";"1146"
"Fjøsangerveien";"25.0";"50.0";"Ev39";"60.35241";"5.33814";"Ja";"AutoPASS + automatisk";"1201"
"Nygårdsbroen";"25.0";"50.0";"Ev39";"60.37924";"5.33567";"Ja";"AutoPASS + automatisk";"1201"
"E39 Sandviken";"25.0";"50.0";"Ev39";"60.41801";"5.31297";"Ja";"AutoPASS + automatisk";"1201"
"Sandviken";"False";"False";"Ev39";"60.41788";"5.31288";"Ja";"AutoPASS + automatisk";"1201"
"Buvika";"20.0";"40.0";"Ev39";"63.31115";"10.19489";"Ja";"AutoPASS + automatisk";"1657"
"Strandheim";"20.0";"40.0";"Ev39";"63.32629";"9.89897";"Ja";"AutoPASS + automatisk";"1657"
"HODNAFJELL";"14.0";"28.0";"Ev134";"59.46161";"5.48178";"Ja";"AutoPASS + automatisk";"1146"
"TOSKATJØRN";"14.0";"28.0";"Ev134";"59.41025";"5.34339";"Ja";"AutoPASS + automatisk";"1106"
"NORHEIM";"14.0";"28.0";"Ev134";"59.37697";"5.30327";"Ja";"AutoPASS + automatisk";"1149"
"Åkrafjorden";"40.0";"80.0";"Ev134";"59.85035";"6.35025";"Ja";"Har autopass";"1211"
"RV4 Trondheimsveien";"31.0";"93.0";"Rv4";"59.94787";"10.85250";"Ja";"AutoPASS + automatisk";"0301"
"Brekkebygda";"70.0";"175.0";"Rv7";"60.28603";"9.74950";"Ja";"AutoPASS + automatisk";"0605"
"Grim";"14.0";"28.0";"Rv9";"58.14741";"7.98255";"Ja";"AutoPASS + automatisk";"1001"
"Hardangerbrua";"150.0";"600.0";"Rv13";"60.47291";"6.83715";"Ja";"AutoPASS + automatisk";"1231"
"Rv13 SVELGANE";"43.0";"86.0";"Rv13";"60.58787";"6.60547";"Ja";"AutoPASS + automatisk";"1235"
"Skoppum";"33.0";"66.0";"Rv19";"59.37738";"10.39388";"Ja";"AutoPASS + automatisk";"0701"
"Oslofjordtunnelen";"50.0";"125.0";"Rv23";"59.69258";"10.65715";"Ja";"AutoPASS + automatisk";"0215"
"Strømsnes";"27.0";"54.0";"Rv80";"67.29902";"15.19273";"Ja";"AutoPASS + automatisk";"1841"
"Vikan";"21.0";"42.0";"Rv80";"67.30319";"14.70377";"Ja";"AutoPASS + automatisk";"1804"
"Pårampe Granfoss fra Fornebu";"15.5";"46.5";"Rv150";"59.90923";"10.62775";"Ja";"AutoPASS + automatisk";"0219"
"Store ringvei v/ Gaustad";"31.0";"93.0";"Rv150";"59.94661";"10.72063";"Ja";"AutoPASS + automatisk";"0301"
"Rampe Store ringvei v/Gaustad";"31.0";"93.0";"Rv150";"59.94638";"10.72054";"Ja";"AutoPASS + automatisk";"0301"
"Østre Akervei";"31.0";"93.0";"Rv163";"59.94015";"10.85177";"Ja";"AutoPASS + automatisk";"0301"
"Solasplitten";"20.0";"50.0";"Rv509";"58.89684";"5.66379";"Ja";"AutoPASS + automatisk";"1124"
"Hafrsfjord";"20.0";"50.0";"Rv509";"58.96095";"5.61087";"Ja";"AutoPASS + automatisk";"1103"
"Gravdal";"25.0";"50.0";"Rv555";"60.38079";"5.26836";"Ja";"AutoPASS + automatisk";"1201"
"Gyldenpris";"25.0";"50.0";"Rv555";"60.38173";"5.31546";"Ja";"AutoPASS + automatisk";"1201"
"Gravdal";"25.0";"50.0";"Rv555";"60.38086";"5.26880";"Ja";"AutoPASS + automatisk";"1201"
"Bjørndal";"10.0";"20.0";"Rv706";"63.39424";"10.38451";"Ja";"AutoPASS + automatisk";"1601"
"E6/Rv706";"8.0";"24.0";"Rv706";"63.43126";"10.48050";"Ja";"AutoPASS + automatisk";"1601"
"Sluppen";"10.0";"20.0";"Rv706";"63.39646";"10.38823";"Ja";"AutoPASS + automatisk";"1601"
"Sødal";"14.0";"28.0";"Fv1";"58.17537";"7.97217";"Ja";"AutoPASS + automatisk";"1001"
"Fv7 KJEPSO";"43.0";"86.0";"Fv7";"60.44383";"6.48648";"Ja";"AutoPASS + automatisk";"1238"
"Rv7 STEINSDALEN";"43.0";"86.0";"Fv7";"60.36272";"6.07118";"Ja";"AutoPASS + automatisk";"1238"
"Østbyen";"18.0";"36.0";"Fv17";"64.46993";"11.52081";"Ja";"AutoPASS + automatisk";"1703"
"Godøystraumen";"21.0";"42.0";"Fv17";"67.24139";"14.71436";"Ja";"AutoPASS + automatisk";"1804"
"Fv 34 Grime";"27.0";"54.0";"Fv34";"60.56063";"10.33270";"Ja";"AutoPASS + automatisk";"0536"
"Kollevoll";"25.0";"50.0";"Fv43";"58.11265";"6.94131";"Ja";"AutoPASS + automatisk";"1032"
"Kåsen";"20.0";"50.0";"Fv44";"58.74220";"5.63792";"Ja";"AutoPASS + automatisk";"1120"
"Skjæveland";"20.0";"50.0";"Fv44";"58.80359";"5.68040";"Ja";"AutoPASS + automatisk";"1120"
"Forusveien";"20.0";"50.0";"Fv44";"58.88972";"5.73103";"Ja";"AutoPASS + automatisk";"1103"
"Fv 45 Gjesdal";"48.0";"85.0";"Fv45";"58.83026";"6.46538";"Ja";"AutoPASS + automatisk";"1122"
"LIKNES";"14.0";"28.0";"Fv47";"59.23485";"5.19785";"Ja";"AutoPASS + automatisk";"1149"
"VEAKROSSEN";"14.0";"28.0";"Fv47";"59.27731";"5.24761";"Ja";"AutoPASS + automatisk";"1149"
"BYGNES";"14.0";"28.0";"Fv47";"59.29838";"5.29211";"Ja";"AutoPASS + automatisk";"1149"
"KARMSUNDGATA SØR";"14.0";"28.0";"Fv47";"59.39918";"5.29371";"Ja";"AutoPASS + automatisk";"1106"
"TITTELSNESVEIEN";"14.0";"28.0";"Fv47";"59.42741";"5.26447";"Ja";"AutoPASS + automatisk";"1106"
"T-forbindelsen";"26.0";"52.0";"Fv47";"59.31297";"5.43114";"Ja";"AutoPASS + automatisk";"1146"
"Atlanterhavstunnelen";"89.0";"660.0";"Fv64";"63.10485";"7.62831";"Ja";"AutoPASS + automatisk";"1554"
"Sykkylvsbrua";"35.0";"105.0";"Fv71";"62.38360";"6.57390";"Ja";"AutoPASS + automatisk";"1528"
"Sykkylvsbrua";"35.0";"105.0";"Fv71";"62.38358";"6.57381";"Ja";"AutoPASS + automatisk";"1528"
"Fv78 Hjartåsen";"27.0";"54.0";"Fv78";"65.87784";"13.16493";"Ja";"AutoPASS + automatisk";"1824"
"Toven";"85.0";"255.0";"Fv78";"66.08118";"13.08645";"Ja";"AutoPASS + automatisk";"1822"
"Jondalstunnelen";"100.0";"200.0";"Fv107";"60.15896";"6.29861";"Ja";"AutoPASS + automatisk";"1224"
"FV 108 Værstebrua";"22.0";"44.0";"Fv108";"59.21411";"10.92652";"Ja";"AutoPASS + automatisk";"0106"
"FV 108 Gamle Kråkerøy bru";"22.0";"44.0";"Fv108";"59.20758";"10.93754";"Ja";"AutoPASS + automatisk";"0106"
"GML Svinesund";"20.0";"100.0";"Fv118";"59.10047";"11.26848";"Ja";"AutoPASS + automatisk";"0101"
"Slitu";"25.0";"50.0";"Fv128";"59.58153";"11.24817";"Ja";"AutoPASS + automatisk";"0125"
"Fossum";"25.0";"50.0";"Fv128";"59.60926";"11.09635";"Ja";"AutoPASS + automatisk";"0123"
"Bærumsveien";"15.5";"46.5";"Fv160";"59.92658";"10.62464";"Ja";"AutoPASS + automatisk";"0219"
"Griniveien";"15.5";"46.5";"Fv168";"59.95263";"10.63354";"Ja";"AutoPASS + automatisk";"0219"
"Drevja bomstasjon";"27.0";"54.0";"Fv254";"65.99077";"13.29928";"Ja";"AutoPASS + automatisk";"1824"
"FÅBERG KIRKE";"18.0";"36.0";"Fv255";"61.16263";"10.36172";"Ja";"AutoPASS + automatisk";"0501"
"Florida";"25.0";"50.0";"Fv256";"60.38179";"5.33294";"Ja";"AutoPASS + automatisk";"1201"
"Auli";"15.0";"30.0";"Fv300";"59.28180";"10.36924";"Ja";"AutoPASS + automatisk";"0704"
"Kjelle";"15.0";"30.0";"Fv308";"59.28540";"10.39568";"Ja";"AutoPASS + automatisk";"0704"
"Kanalen";"15.0";"30.0";"Fv308";"59.26145";"10.41615";"Ja";"AutoPASS + automatisk";"0704"
"Kambo";"23.0";"46.0";"Fv311";"59.48883";"10.69970";"Ja";"AutoPASS + automatisk";"0104"
"Presterød";"15.0";"30.0";"Fv311";"59.27356";"10.44354";"Ja";"AutoPASS + automatisk";"0704"
"Gamlevegen";"20.0";"50.0";"Fv314";"58.88526";"5.74271";"Ja";"AutoPASS + automatisk";"1102"
"LUNDGÅRD";"18.0";"36.0";"Fv315";"61.15496";"10.35709";"Ja";"AutoPASS + automatisk";"0501"
"Gressbanen";"15.0";"30.0";"Fv325";"59.28306";"10.41478";"Ja";"AutoPASS + automatisk";"0704"
"Årsvoll";"20.0";"50.0";"Fv327";"58.85527";"5.64580";"Ja";"AutoPASS + automatisk";"1124"
"Svanholmen";"20.0";"50.0";"Fv350";"58.89284";"5.70651";"Ja";"AutoPASS + automatisk";"1103"
"Grannes";"20.0";"50.0";"Fv382";"58.92865";"5.68740";"Ja";"AutoPASS + automatisk";"1124"
"Kvernevikveien";"20.0";"50.0";"Fv409";"58.97524";"5.61336";"Ja";"AutoPASS + automatisk";"1103"
"Finnestadgeilen";"20.0";"50.0";"Fv413";"58.99604";"5.65678";"Ja";"AutoPASS + automatisk";"1103"
